קטגוריה,שם הגורם,תיאור/זיקה,כתובת ליצירת קשר,גל הפצה,זווית מותאמת,סטטוס,תאריך פנייה,תאריך מעקב,הערות
ארגון אזרחי,המכון הישראלי לדמוקרטיה (IDI),מכון מחקר בלתי-מפלגתי העוסק בין היתר בשיעורי הצבעה ועידוד השתתפות דמוקרטית,טופס יצירת קשר: idi.org.il/about/contact,1,כלי מבוסס-נתונים שמשלים את המחקר שלהם על דפוסי הצבעה; הצעה לשיתוף עם קהל היעד שלהם,נשלח - ממתין לתשובה,11.08.2026,18.08.2026,"ארגון בכיר - לפנות במייל מנומק + לינק לכלי, לא בקשה לפרסום"
ארגון אזרחי,התנועה למען איכות השלטון בישראל,עמותה לקידום ממשל תקין ושקיפות,office@mqg.org.il,1,שקיפות מתודולוגית (65% מהציון מבוסס הצבעות בפועל בכנסת) מתיישבת עם הערכים שלהם,נשלח - ממתין לתשובה,11.08.2026,18.08.2026,
ארגון סטודנטים,התאחדות הסטודנטים והסטודנטיות הארצית,הגוף המייצג כ-350 אלף סטודנטים בישראל דרך 46 אגודות,office@nuis.co.il,1,כלי חינמי לראשוני-מצביעים וסטודנטים; הצעה להפצה בקמפוסים/ברשתות של האגודות,נשלח - ממתין לתשובה,11.08.2026,18.08.2026,אפשר גם לפנות בנפרד לאגודות קמפוס בודדות (למשל אגודת הסטודנטים ת"א - student.co.il/contact)
מועצת תלמידים,מועצת התלמידים והנוער הארצית,גוף נבחר המייצג כמיליון תלמידים ובני נוער בכיתות ז-יב תחת משרד החינוך,linktr.ee/Moatzaty_ (לינקים לאינסטגרם/פייסבוק/X - אין מייל ציבורי; לפנות בהודעה ישירה),1,בני 18 בכיתה יב הם מצביעים ראשונים בפועל - הכלי ככלי הכנה לבגרות אזרחות ולקלפי הראשונה,נשלח - ממתין לתשובה,11.08.2026,18.08.2026,"לגוף רשמי תחת משרד החינוך - לנסח פנייה זהירה, לא כ""פרסום"" אלא כ""כלי חינוכי ניטרלי"""
ארגון נוער,מועצת המכינות הקדם-צבאיות בישראל,מאגדת 54 מכינות קדם-צבאיות מאושרות (בני 18-19 בשנת שירות לפני הצבא),guidestar.org.il/organization/580508364/contact (טופס יצירת קשר) / ספר קשר: mechinot.org.il/phonebook,1,מכינות עוסקות באזרחות ומעורבות חברתית - כלי מצוין לדיון קבוצתי לפני שהחניכים מצביעים בפעם הראשונה,נשלח - ממתין לתשובה,11.08.2026,18.08.2026,אפשר גם לפנות ישירות למכינות בודדות דרך ספר הקשר
תנועת נוער,תנועת הצופים העבריים בישראל,"כ-100,000 חברים, תנועת הנוער הגדולה בישראל",zofim.org.il (טופס יצירת קשר) / facebook.com/tzofim,1,חניכי שכבות בוגרות (17-18) מתקרבים להצבעה ראשונה - הצעה לפעילות חינוכית/דיון על הכלי בקבוצות הבוגרות,נשלח - ממתין לתשובה,11.08.2026,18.08.2026,
תנועת נוער,תנועת בני עקיבא בישראל,"כ-400 סניפים, התנועה הדתית-לאומית הגדולה בישראל",bneiakiva.org.il/pertey-kesher/ (טופס יצירת קשר),1,אותה זווית - הכנת בני נוער בוגרים להצבעה ראשונה ומודעת,נשלח - ממתין לתשובה,11.08.2026,18.08.2026,
תנועת נוער,הנוער העובד והלומד,"אחת מתנועות הנוער הגדולות בישראל, מזוהה עם ההסתדרות",tzibur@noal.org.il,1,אותה זווית - הכנת בני נוער בוגרים להצבעה ראשונה ומודעת,נשלח - ממתין לתשובה,11.08.2026,18.08.2026,
עיתונות טכנולוגיה,גיקטיים (Geektime),אתר הטכנולוגיה וההייטק המוביל בישראל,טופס יצירת קשר: geektime.co.il/contact,2,"סיפור civic-tech: בן 23 בנה כלי לבד, מתודולוגיית דאטה (כ-22,000 הצבעות מה-API הפתוח של הכנסת)",לא נשלח,,,
עיתונות טק/כלכלה,כלכליסט-טק,מדור ההייטק והסטארטאפים של כלכליסט,news@calcalist.co.il (מערכת האתר),2,אותה זווית טכנולוגית/דאטה - כלי civic-tech ללא שרת וללא איסוף מידע אישי,לא נשלח,,,קיים גם mail@calcalist.co.il למערכת העיתון
עיתונות כלכלית,גלובס,עיתון כלכלה פיננסים והייטק,redemail@globes.co.il (מייל אדום - חדשות),2,אותה זווית טכנולוגית/דאטה,לא נשלח,,,
עיתונות כללית/דעות,TheMarker,מדור כלכלה ודעות של הארץ,opinion@themarker.com (למאמר דעה) / themarker.com/misc/contact-us (כללי),3,מאמר דעה: מה חסר בשיח הפוליטי הישראלי סביב מידע לבוחר - הכלי כדוגמה,לא נשלח,,,
ביקורת תקשורת,העין השביעית,אתר עצמאי לביקורת תקשורת ועיתונות בישראל,the7eye.org.il/contact,3,איך כלי עצמאי וניטרלי כמו זה ממלא חלל מול המצפנים של הערוצים הגדולים (מאקו/וואלה/N12) שיש להם זיקה מסחרית,לא נשלח,,,
עיתונות כללית,Ynet,אתר החדשות המוביל בישראל,ynet.co.il/redmail (דואר אדום),3,כלי חינמי וניטרלי לציבור הרחב לקראת הבחירות,לא נשלח,,,
